"filename", "language", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "XML", "Markdown", "JavaScript", "comment", "blank", "total"
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.module.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.html", "HTML", 0, 0, 0, 0, 256, 0, 0, 0, 2, 12, 270
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.scss", "SCSS", 0, 0, 0, 990, 0, 0, 0, 0, 5, 22, 1017
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\home\profile\view-profile\view-profile.page.ts", "TypeScript", 0, 0, 135, 0, 0, 0, 0, 0, 1, 13, 149
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.module.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.html", "HTML", 0, 0, 0, 0, 246, 0, 0, 0, 3, 14, 263
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.scss", "SCSS", 0, 0, 0, 888, 0, 0, 0, 0, 6, 27, 921
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\invoice.page.ts", "TypeScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.html", "HTML", 0, 0, 0, 0, 49, 0, 0, 0, 1, 3, 53
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\invoice\terms-of-service\terms-of-service.component.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.html", "HTML", 0, 0, 0, 0, 203, 0, 0, 0, 86, 14, 303
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.scss", "SCSS", 0, 0, 0, 696, 0, 0, 0, 0, 3, 23, 722
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.ts", "TypeScript", 0, 0, 310, 0, 0, 0, 0, 0, 11, 38, 359
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.module.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 24
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.html", "HTML", 0, 0, 0, 0, 170, 0, 0, 0, 78, 7, 255
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.scss", "SCSS", 0, 0, 0, 946, 0, 0, 0, 0, 12, 29, 987
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.ts", "TypeScript", 0, 0, 209, 0, 0, 0, 0, 0, 4, 17, 230
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.html", "HTML", 0, 0, 0, 0, 167, 0, 0, 0, 0, 10, 177
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.scss", "SCSS", 0, 0, 0, 1191, 0, 0, 0, 0, 12, 29, 1232
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.ts", "TypeScript", 0, 0, 191, 0, 0, 0, 0, 0, 1, 22, 214
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.module.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
